Name,YT Scope Project,
File,C:\Users\Banan\mas247\mas247_olje\StepResponsePlot.csv,
Starttime of export,133437580216110000,Monday, November 6, 2023,16:27:01.611
Endtime of export,133437583732510000,Monday, November 6, 2023,16:32:53.251


Name,Level_Transmitter_2,Name,Pressure_Differencial_Transmitter_1
SymbolComment,,SymbolComment,
Data-Type,INT16,Data-Type,INT16
SampleTime[ms],10,SampleTime[ms],10
VariableSize,2,VariableSize,2
SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472
IndexOffset,385156,IndexOffset,385160
SymbolName,MAIN.Level_Transmitter_2,SymbolName,MAIN.Pressure_Differencial_Transmitter_1
NetID,5.112.67.239.1.1,NetID,5.112.67.239.1.1
Port,851,Port,851
Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0

8730,0,8730,2682
8740,0,8740,2683
8750,0,8750,2682
8760,0,8760,2682
8770,0,8770,2682
8780,0,8780,2682
8790,0,8790,2683
8800,0,8800,2685
8810,0,8810,2681
8820,0,8820,2682
8830,0,8830,2685
8840,0,8840,2679
8850,0,8850,2681
8860,0,8860,2686
8870,0,8870,2686
8880,0,8880,2681
8890,0,8890,2681
8900,0,8900,2687
8910,0,8910,2687
8920,0,8920,2685
8930,0,8930,2686
8940,0,8940,2683
8950,0,8950,2682
8960,0,8960,2683
8970,0,8970,2683
8980,0,8980,2683
8990,0,8990,2683
9000,0,9000,2685
9010,0,9010,2689
9020,0,9020,2686
9030,0,9030,2683
9040,0,9040,2685
9050,0,9050,2681
9060,0,9060,2679
9070,0,9070,2678
9080,0,9080,2679
9090,0,9090,2685
9100,0,9100,2686
9110,0,9110,2685
9120,0,9120,2681
9130,0,9130,2678
9140,0,9140,2681
9150,0,9150,2686
9160,0,9160,2683
9170,0,9170,2683
9180,0,9180,2685
9190,0,9190,2681
9200,0,9200,2683
9210,0,9210,2685
9220,0,9220,2682
9230,0,9230,2676
9240,0,9240,2679
9250,0,9250,2686
9260,0,9260,2682
9270,0,9270,2683
9280,0,9280,2683
9290,0,9290,2682
9300,0,9300,2682
9310,0,9310,2685
9320,0,9320,2685
9330,0,9330,2683
9340,0,9340,2683
9350,0,9350,2681
9360,0,9360,2681
9370,0,9370,2683
9380,0,9380,2682
9390,0,9390,2679
9400,0,9400,2685
9410,0,9410,2686
9420,0,9420,2681
9430,0,9430,2678
9440,0,9440,2679
9450,0,9450,2682
9460,0,9460,2682
9470,0,9470,2681
9480,0,9480,2681
9490,0,9490,2679
9500,0,9500,2682
